# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-GU280_gp04	TRANSCRIPT_gene-GU280_gp04	protein_coding	0	0	1	86	0	0	26	0	1	0	0	60
M	gene-GU280_gp05	TRANSCRIPT_gene-GU280_gp05	protein_coding	0	2	5	79	0	0	19	0	5	0	2	60
N	gene-GU280_gp10	TRANSCRIPT_gene-GU280_gp10	protein_coding	1	2	6	34	0	0	1	1	6	0	2	33
ORF10	gene-GU280_gp11	TRANSCRIPT_gene-GU280_gp11	protein_coding	0	0	0	33	0	0	1	0	0	0	0	32
ORF1ab	gene-GU280_gp01	TRANSCRIPT_gene-GU280_gp01	protein_coding	10	16	31	64	3	1	61	8	27	2	16	3
ORF3a	gene-GU280_gp03	TRANSCRIPT_gene-GU280_gp03	protein_coding	0	1	2	84	0	0	27	0	2	0	1	57
ORF6	gene-GU280_gp06	TRANSCRIPT_gene-GU280_gp06	protein_coding	0	2	3	73	0	0	14	0	3	0	2	59
ORF7a	gene-GU280_gp07	TRANSCRIPT_gene-GU280_gp07	protein_coding	0	0	0	75	0	0	14	0	0	0	0	61
ORF7b	gene-GU280_gp08	TRANSCRIPT_gene-GU280_gp08	protein_coding	0	1	1	65	0	0	12	0	1	0	1	53
ORF8	gene-GU280_gp09	TRANSCRIPT_gene-GU280_gp09	protein_coding	0	0	1	61	0	0	11	0	1	0	0	50
S	gene-GU280_gp02	TRANSCRIPT_gene-GU280_gp02	protein_coding	0	4	52	42	0	1	30	0	51	0	4	12
